margBCAC,n,landing,coverage
BDG,4,193333,1
BRG,6,172242,1
MNT,95,4346531,0.968421052631579
MRO,77,2765986,0.766233766233766
OSF,63,3176702,0.857142857142857
HKL,1,0,1
NET,8,145083,0.875
TWL,236,10509711,0.877118644067797
1978,57,1853861,0.964912280701754
1980,61,4271945,0.819672131147541
1981,42,2050399,0.833333333333333
1982,50,1990221,0.94
1983,18,309478,0.833333333333333
1984,6,175358,1
1985,11,3532,0.636363636363636
Q1,55,2147235,0.927272727272727
Q2,86,3951309,0.86046511627907
Q3,59,2789724,0.864406779661017
Q4,45,1766526,0.866666666666667
