"marginalTIGR","n","landing","coverage"
"BDG",9,2766,0.888888888888889
"BRG",326,0,0.969325153374233
"CRS",50,0,1
"ERK",323,0,0.848297213622291
"MNT",108,0,0.972222222222222
"MRO",138,0,0.963768115942029
"OSF",29,0,1
"HKL",110,0,0.963636363636364
"NET",6,0,0.833333333333333
"TWL",867,2766,0.927335640138408
"1978",124,0,0.975806451612903
"1979",102,0,0.833333333333333
"1980",271,0,0.985239852398524
"1981",237,2766,0.9957805907173
"1982",249,0,0.827309236947791
"Q1",162,0,0.987654320987654
"Q2",289,0,0.930795847750865
"Q3",340,0,0.964705882352941
"Q4",192,2766,0.822916666666667
