"marginalTIGR","n","landing","coverage"
"BDG",9,2766,0.222222222222222
"BRG",326,0,0.119631901840491
"CRS",50,0,0.14
"ERK",323,0,0.18266253869969
"MNT",108,0,0.287037037037037
"MRO",138,0,0.434782608695652
"OSF",29,0,0.482758620689655
"HKL",110,0,0.436363636363636
"NET",6,0,0
"TWL",867,2766,0.189158016147636
"1978",124,0,0.209677419354839
"1979",102,0,0.284313725490196
"1980",271,0,0.250922509225092
"1981",237,2766,0.333333333333333
"1982",249,0,0.0401606425702811
"Q1",162,0,0.308641975308642
"Q2",289,0,0.211072664359862
"Q3",340,0,0.232352941176471
"Q4",192,2766,0.114583333333333
