"marginalBRWN","n","landing","coverage"
"BRG",6,0,0
"MNT",88,0,0.363636363636364
"MRO",64,3617,0.5625
"OSF",52,0,0.25
"HKL",1,0,1
"NET",8,0,0.125
"TWL",201,3617,0.393034825870647
"1978",57,0,0.228070175438596
"1980",61,0,0.590163934426229
"1981",42,0,0.476190476190476
"1982",50,3617,0.24
"Q1",43,3617,0.488372093023256
"Q2",73,0,0.191780821917808
"Q3",54,0,0.685185185185185
"Q4",40,0,0.225
