margBLUR,n,landing,coverage
BDG,9,0,0.111111111111111
BRG,326,0,0.423312883435583
CRS,50,0,0.34
ERK,323,0,0.798761609907121
MNT,108,0,0.555555555555556
MRO,138,0,0.77536231884058
OSF,29,0,0.586206896551724
HKL,110,0,0.918181818181818
NET,6,0,0.833333333333333
TWL,867,0,0.567474048442907
1978,124,0,0.693548387096774
1979,102,0,0.529411764705882
1980,271,0,0.664206642066421
1981,237,0,0.409282700421941
1982,249,0,0.726907630522088
Q1,162,0,0.530864197530864
Q2,289,0,0.650519031141868
Q3,340,0,0.647058823529412
Q4,192,0,0.541666666666667
