margGSPT,n,landing,coverage
BDG,31,10945,0.967741935483871
BRG,420,372300,0.980952380952381
CRS,73,28135,1
ERK,533,305853,0.99437148217636
MNT,249,27693,1
MRO,201,107039,0.990049751243781
OSF,65,29748,1
HKL,128,108515,0.984375
NET,24,0,1
TWL,1420,773198,0.991549295774648
1978,124,27031,0.983870967741935
1979,102,91046,1
1980,271,81904,0.988929889298893
1981,237,329640,0.987341772151899
1982,249,145982,0.987951807228916
1983,312,117317,0.993589743589744
1984,277,88793,0.996389891696751
Q1,277,292248,0.985559566787004
Q2,441,214553,0.990929705215419
Q3,534,187622,0.99625468164794
Q4,320,187290,0.9875
