"marginalLSPN","n","landing","coverage"
"BDG",9,0,1
"BRG",326,432,0.993865030674847
"CRS",50,0,0.96
"ERK",323,0,0.764705882352941
"MNT",108,0,0.796296296296296
"MRO",138,0,0.673913043478261
"OSF",29,0,0.96551724137931
"HKL",110,0,0.927272727272727
"NET",6,0,0.166666666666667
"TWL",867,432,0.844290657439446
"1978",124,163,0.959677419354839
"1979",102,0,0.980392156862745
"1980",271,269,0.690036900369004
"1981",237,0,0.957805907172996
"1982",249,0,0.811244979919679
"Q1",162,0,0.950617283950617
"Q2",289,0,0.826989619377163
"Q3",340,269,0.9
"Q4",192,163,0.708333333333333
