margSLGR,n,landing,coverage
BDG,56,3730,0.410714285714286
BRG,457,0,0.299781181619256
CRS,82,0,0.292682926829268
ERK,594,10545,0.557239057239057
MNT,344,0,0.392441860465116
MRO,266,0,0.37218045112782
OSF,104,9701,0.586538461538462
HKL,138,0,0.485507246376812
NET,47,0,0.276595744680851
TWL,1718,23976,0.424912689173458
1978,124,0,0.5
1979,102,1894,0.431372549019608
1980,271,0,0.439114391143911
1981,237,0,0.434599156118143
1982,249,0,0.309236947791165
1983,312,0,0.512820512820513
1984,277,9082,0.483754512635379
1985,331,13000,0.335347432024169
Q1,339,5914,0.392330383480826
Q2,531,14483,0.48210922787194
Q3,645,3579,0.438759689922481
Q4,388,0,0.355670103092784
