"marginalCLPR","n","landing","coverage"
"BRG",6,317971,0.166666666666667
"MNT",88,2036206,0.272727272727273
"MRO",64,1562999,0.4375
"OSF",52,2265596,0.423076923076923
"HKL",1,0,1
"NET",8,0,1
"TWL",201,6182772,0.328358208955224
"1978",57,856923,0.403508771929825
"1980",61,2760555,0.442622950819672
"1981",42,1498391,0.238095238095238
"1982",50,1066903,0.3
"Q1",43,1297371,0.302325581395349
"Q2",73,1890665,0.356164383561644
"Q3",54,1617800,0.444444444444444
"Q4",40,1376936,0.3
