"marginalURCK","n","landing","coverage"
"BDG",9,0,0.444444444444444
"BRG",326,0,0.177914110429448
"CRS",50,44,0.06
"ERK",323,0,0.0185758513931889
"MNT",108,0,0.148148148148148
"MRO",138,0,0.36231884057971
"OSF",29,0,0.0689655172413793
"HKL",110,0,0.445454545454545
"NET",6,0,0.666666666666667
"TWL",867,44,0.0991926182237601
"1978",124,0,0.201612903225806
"1979",102,0,0.274509803921569
"1980",271,44,0.0516605166051661
"1981",237,0,0.0970464135021097
"1982",249,0,0.196787148594378
"Q1",162,0,0.271604938271605
"Q2",289,0,0.103806228373702
"Q3",340,44,0.0970588235294118
"Q4",192,0,0.166666666666667
