margGBLC,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.843558282208589
CRS,50,0,0.94
ERK,323,0,0.904024767801858
MNT,108,0,0.722222222222222
MRO,138,37006,0.811594202898551
OSF,29,0,0.793103448275862
HKL,110,37006,0.854545454545454
NET,6,0,0.833333333333333
TWL,867,0,0.850057670126874
1978,124,0,0.983870967741935
1979,102,372,0.882352941176471
1980,271,1328,0.760147601476015
1981,237,0,0.860759493670886
1982,249,35306,0.859437751004016
Q1,162,5688,0.882716049382716
Q2,289,58,0.754325259515571
Q3,340,30556,0.955882352941177
Q4,192,704,0.78125
