"marginalPNKR","n","landing","coverage"
"BRG",6,0,0.166666666666667
"MNT",88,745,0.375
"MRO",64,0,0.171875
"OSF",52,0,0.192307692307692
"HKL",1,0,0
"NET",8,0,0.875
"TWL",201,745,0.238805970149254
"1978",57,745,0.350877192982456
"1980",61,0,0.131147540983607
"1981",42,0,0.214285714285714
"1982",50,0,0.36
"Q1",43,745,0.302325581395349
"Q2",73,0,0.10958904109589
"Q3",54,0,0.388888888888889
"Q4",40,0,0.325
