margBANK,n,landing,coverage
BDG,4,97108,0.75
BRG,6,0,1
MNT,95,1044209,0.715789473684211
MRO,66,444659,0.818181818181818
OSF,63,65492,0.952380952380952
HKL,1,0,1
NET,8,0,1
TWL,225,1651468,0.808888888888889
1978,57,385011,0.807017543859649
1980,61,5164,0.983606557377049
1981,42,670022,0.761904761904762
1982,50,452819,0.72
1983,18,29264,0.777777777777778
1984,6,109188,0.5
Q1,51,179480,0.823529411764706
Q2,79,381459,0.772151898734177
Q3,59,523624,0.847457627118644
Q4,45,566905,0.844444444444444
