"marginalYMTH","n","landing","coverage"
"BDG",9,0,0.888888888888889
"BRG",326,1535,0.892638036809816
"CRS",50,0,1
"ERK",323,0,0.897832817337461
"MNT",108,0,0.648148148148148
"MRO",138,0,0.833333333333333
"OSF",29,0,0.827586206896552
"HKL",110,0,0.9
"NET",6,0,0
"TWL",867,1535,0.863898500576701
"1978",124,0,0.967741935483871
"1979",102,1535,0.843137254901961
"1980",271,0,0.804428044280443
"1981",237,0,0.886075949367089
"1982",249,0,0.859437751004016
"Q1",162,0,0.944444444444444
"Q2",289,0,0.820069204152249
"Q3",340,0,0.95
"Q4",192,1535,0.703125
