margEGLS,n,landing,coverage
BDG,4,0,1
BRG,6,0,1
MNT,95,185,0.989473684210526
MRO,66,0,0.96969696969697
OSF,63,2368,0.857142857142857
HKL,1,0,1
NET,8,0,1
TWL,225,2553,0.946666666666667
1978,57,185,0.982456140350877
1980,61,0,1
1981,42,0,1
1982,50,2368,0.78
1983,18,0,1
1984,6,0,1
Q1,51,0,1
Q2,79,2368,0.886075949367089
Q3,59,0,0.966101694915254
Q4,45,185,0.977777777777778
