margCNRY,n,landing,coverage
BDG,9,66834,1
BRG,326,1975794,0.950920245398773
CRS,50,1398777,0.78
ERK,323,1577283,0.922600619195046
MNT,108,20852,0.990740740740741
MRO,138,100136,1
OSF,29,7637,0.96551724137931
HKL,110,132906,0.990909090909091
NET,6,0,1
TWL,867,5014407,0.938869665513264
1978,124,1259855,0.919354838709677
1979,102,626077,0.980392156862745
1980,271,615166,0.933579335793358
1981,237,1146147,0.953586497890295
1982,249,1500068,0.947791164658635
Q1,162,848186,0.969135802469136
Q2,289,1937730,0.923875432525952
Q3,340,1978133,0.929411764705882
Q4,192,383264,0.984375
