margRSTN,n,landing,coverage
BDG,56,0,0.517857142857143
BRG,457,1338,0.63019693654267
CRS,82,157,0.634146341463415
ERK,594,6852,0.715488215488216
MNT,344,0,0.767441860465116
MRO,266,0,0.721804511278195
OSF,104,0,0.653846153846154
HKL,138,0,0.782608695652174
NET,47,0,0.680851063829787
TWL,1718,8347,0.685681024447031
1978,124,47,0.645161290322581
1979,102,244,0.794117647058823
1980,271,0,0.70479704797048
1981,237,0,0.704641350210971
1982,249,1495,0.738955823293173
1983,312,4631,0.733974358974359
1984,277,1418,0.72202166064982
1985,331,512,0.561933534743202
Q1,339,1414,0.63716814159292
Q2,531,5528,0.585687382297552
Q3,645,1281,0.756589147286822
Q4,388,124,0.780927835051546
