margTIGR,n,landing,coverage
BDG,9,2766,0
BRG,326,0,0.343558282208589
CRS,50,0,0.44
ERK,323,0,0.256965944272446
MNT,108,0,0.416666666666667
MRO,138,0,0.326086956521739
OSF,29,0,0.241379310344828
HKL,110,0,0.318181818181818
NET,6,0,0.666666666666667
TWL,867,2766,0.317185697808535
1978,124,0,0.354838709677419
1979,102,0,0.568627450980392
1980,271,0,0.232472324723247
1981,237,2766,0.248945147679325
1982,249,0,0.36144578313253
Q1,162,0,0.185185185185185
Q2,289,0,0.179930795847751
Q3,340,0,0.455882352941176
Q4,192,2766,0.401041666666667
