margSPKL,n,landing,coverage
BDG,9,0,1
BRG,326,0,1
CRS,50,0,1
ERK,323,0,1
MNT,108,13256,0.935185185185185
MRO,138,29218,0.847826086956522
OSF,29,0,1
HKL,110,35331,0.809090909090909
NET,6,2555,0.333333333333333
TWL,867,4588,0.996539792387543
1978,124,2555,0.959677419354839
1979,102,9951,0.950980392156863
1980,271,1542,0.988929889298893
1981,237,12829,0.978902953586498
1982,249,15597,0.959839357429719
Q1,162,11599,0.944444444444444
Q2,289,6194,0.97923875432526
Q3,340,1856,0.994117647058824
Q4,192,22825,0.942708333333333
