margSPKL,n,landing,coverage
BDG,9,0,1
BRG,326,0,1
CRS,50,0,1
ERK,323,0,1
MNT,108,13256,0.981481481481482
MRO,138,29218,0.992753623188406
OSF,29,0,1
HKL,110,35331,1
NET,6,2555,1
TWL,867,4588,0.996539792387543
1978,124,2555,1
1979,102,9951,1
1980,271,1542,1
1981,237,12829,1
1982,249,15597,0.987951807228916
Q1,162,11599,1
Q2,289,6194,0.996539792387543
Q3,340,1856,1
Q4,192,22825,0.989583333333333
