margKLPG,n,landing,coverage
BRG,6,0,0.5
MNT,88,337,0.397727272727273
MRO,64,0,0.828125
OSF,52,0,0.25
HKL,1,0,0
NET,8,337,0.625
TWL,201,0,0.492537313432836
1978,57,337,0.315789473684211
1980,61,0,0.573770491803279
1981,42,0,0.714285714285714
1982,50,0,0.42
Q1,43,0,0.441860465116279
Q2,73,337,0.671232876712329
Q3,54,0,0.277777777777778
Q4,40,0,0.525
