"marginalREYE","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.914110429447853
"CRS",50,0,0.78
"ERK",323,0,0.839009287925697
"MNT",108,0,1
"MRO",138,0,0.898550724637681
"OSF",29,0,0.793103448275862
"HKL",110,0,0.927272727272727
"NET",6,0,1
"TWL",867,0,0.881199538638985
"1978",124,0,0.758064516129032
"1979",102,0,1
"1980",271,0,0.874538745387454
"1981",237,0,0.953586497890295
"1982",249,0,0.855421686746988
"Q1",162,0,0.975308641975309
"Q2",289,0,0.868512110726644
"Q3",340,0,0.832352941176471
"Q4",192,0,0.9375
