margQLBK,n,landing,coverage
BDG,9,0,0
BRG,326,232,0.285276073619632
CRS,50,0,0.1
ERK,323,0,0.386996904024768
MNT,108,0,0.203703703703704
MRO,138,0,0.253623188405797
OSF,29,0,0.517241379310345
HKL,110,0,0.290909090909091
NET,6,0,0.666666666666667
TWL,867,232,0.298731257208766
1978,124,232,0.185483870967742
1979,102,0,0.274509803921569
1980,271,0,0.391143911439114
1981,237,0,0.210970464135021
1982,249,0,0.353413654618474
Q1,162,232,0.203703703703704
Q2,289,0,0.211072664359862
Q3,340,0,0.341176470588235
Q4,192,0,0.442708333333333
