margLCOD,n,landing,coverage
BDG,1,0,1
BRG,6,0,1
MNT,92,31899,0.978260869565217
MRO,66,90630,0.954545454545455
OSF,63,0,1
HKL,1,0,1
NET,8,5650,0.875
TWL,219,116879,0.981735159817352
1978,57,31899,0.964912280701754
1980,61,90630,0.950819672131147
1981,42,0,1
1982,50,0,1
1983,18,0,1
Q1,45,2380,1
Q2,79,23340,0.987341772151899
Q3,59,86131,0.932203389830508
Q4,45,10678,1
