margSLGR,n,landing,coverage
BDG,52,0,0.423076923076923
BRG,51,0,0.411764705882353
CRS,22,0,0.318181818181818
ERK,165,487,0.175757575757576
MNT,21,0,0.333333333333333
MRO,6,0,1
OSF,29,0,0.517241379310345
NET,9,0,0.222222222222222
TWL,337,487,0.311572700296736
1981,37,0,0.108108108108108
1982,92,0,0.358695652173913
1983,73,0,0.0958904109589041
1984,69,0,0.492753623188406
1985,75,487,0.386666666666667
Q1,108,487,0.416666666666667
Q2,79,0,0.151898734177215
Q3,90,0,0.344444444444444
Q4,69,0,0.27536231884058
