"marginalBRWN","n","landing","coverage"
"BDG",9,0,1
"BRG",326,4315,0.950920245398773
"CRS",50,0,0.86
"ERK",323,1394,0.885448916408669
"MNT",108,0,0.981481481481482
"MRO",138,144491,0.891304347826087
"OSF",29,35728,0.896551724137931
"HKL",110,35728,0.863636363636364
"NET",6,0,1
"TWL",867,150200,0.925028835063437
"1978",124,0,0.862903225806452
"1979",102,0,1
"1980",271,181604,0.981549815498155
"1981",237,2930,0.919831223628692
"1982",249,1394,0.843373493975904
"Q1",162,0,0.993827160493827
"Q2",289,35728,0.948096885813149
"Q3",340,4315,0.970588235294118
"Q4",192,145885,0.71875
