margBRWN,n,landing,coverage
BDG,9,0,0.777777777777778
BRG,326,4315,0.932515337423313
CRS,50,0,0.74
ERK,323,1394,0.996904024767802
MNT,108,0,0.916666666666667
MRO,138,144491,0.920289855072464
OSF,29,35728,0.862068965517241
HKL,110,35728,0.927272727272727
NET,6,0,1
TWL,867,150200,0.937716262975779
1978,124,0,0.991935483870968
1979,102,0,1
1980,271,181604,0.929889298892989
1981,237,2930,0.890295358649789
1982,249,1394,0.93574297188755
Q1,162,0,0.969135802469136
Q2,289,35728,0.896193771626298
Q3,340,4315,0.964705882352941
Q4,192,145885,0.921875
