"marginalSLGR","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.993865030674847
"CRS",50,0,1
"ERK",323,1894,0.715170278637771
"MNT",108,0,0.777777777777778
"MRO",138,0,1
"OSF",29,0,0.931034482758621
"HKL",110,0,1
"NET",6,0,1
"TWL",867,1894,0.86159169550173
"1978",124,0,0.870967741935484
"1979",102,1894,0.950980392156863
"1980",271,0,1
"1981",237,0,0.759493670886076
"1982",249,0,0.831325301204819
"Q1",162,1894,0.907407407407407
"Q2",289,0,0.844290657439446
"Q3",340,0,0.829411764705882
"Q4",192,0,0.989583333333333
