"marginalPOP","n","landing","coverage"
"BDG",9,0,1
"BRG",326,7614,0.984662576687117
"CRS",50,4556,0.9
"ERK",323,326592,0.925696594427245
"MNT",108,0,1
"MRO",138,0,1
"OSF",29,0,1
"HKL",110,0,1
"NET",6,0,1
"TWL",867,338762,0.96078431372549
"1978",124,1334,0.983870967741935
"1979",102,61613,0.980392156862745
"1980",271,13486,0.966789667896679
"1981",237,1233,0.987341772151899
"1982",249,261096,0.927710843373494
"Q1",162,61776,0.987654320987654
"Q2",289,10445,0.968858131487889
"Q3",340,255876,0.952941176470588
"Q4",192,10665,0.963541666666667
