margARRA,n,landing,coverage
BDG,56,0,1
BRG,457,18988,0.949671772428884
CRS,82,55612,0.865853658536585
ERK,594,38645,0.952861952861953
MNT,344,10846,0.933139534883721
MRO,266,6304,0.917293233082707
OSF,104,0,1
HKL,138,0,1
NET,47,87,0.978723404255319
TWL,1718,130308,0.938300349243306
1978,124,224,0.991935483870968
1979,102,363,0.990196078431373
1980,271,5005,0.981549815498155
1981,237,11213,0.983122362869198
1982,249,17469,0.943775100401606
1983,312,59193,0.92948717948718
1984,277,10643,0.953068592057762
1985,331,26285,0.858006042296072
Q1,339,11842,0.964601769911504
Q2,531,26789,0.964218455743879
Q3,645,24693,0.93953488372093
Q4,388,67071,0.904639175257732
