margARRA,n,landing,coverage
BDG,56,0,1
BRG,457,18988,0.975929978118162
CRS,82,55612,0.939024390243902
ERK,594,38645,0.962962962962963
MNT,344,10846,0.98546511627907
MRO,266,6304,0.966165413533835
OSF,104,0,1
HKL,138,0,1
NET,47,87,1
TWL,1718,130308,0.969732246798603
1978,124,224,0.991935483870968
1979,102,363,0.990196078431373
1980,271,5005,0.985239852398524
1981,237,11213,0.983122362869198
1982,249,17469,0.963855421686747
1983,312,59193,0.961538461538462
1984,277,10643,0.981949458483754
1985,331,26285,0.95166163141994
Q1,339,11842,0.982300884955752
Q2,531,26789,0.979284369114878
Q3,645,24693,0.972093023255814
Q4,388,67071,0.956185567010309
