margEGLS,n,landing,coverage
BDG,9,0,0
BRG,326,0,0.251533742331288
CRS,50,0,0.54
ERK,323,0,0.244582043343653
MNT,108,1398,0.277777777777778
MRO,138,0,0.22463768115942
OSF,29,0,0.241379310344828
HKL,110,0,0.227272727272727
NET,6,0,0.5
TWL,867,1398,0.262975778546713
1978,124,0,0.370967741935484
1979,102,0,0.392156862745098
1980,271,1398,0.0996309963099631
1981,237,0,0.126582278481013
1982,249,0,0.453815261044177
Q1,162,0,0.154320987654321
Q2,289,0,0.26643598615917
Q3,340,1398,0.35
Q4,192,0,0.182291666666667
