margEGLS,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.941717791411043
CRS,50,0,0.98
ERK,323,0,0.996904024767802
MNT,108,1398,0.962962962962963
MRO,138,0,0.992753623188406
OSF,29,0,0.724137931034483
HKL,110,0,0.981818181818182
NET,6,0,1
TWL,867,1398,0.963091118800461
1978,124,0,0.959677419354839
1979,102,0,0.990196078431373
1980,271,1398,0.974169741697417
1981,237,0,0.924050632911392
1982,249,0,0.987951807228916
Q1,162,0,0.839506172839506
Q2,289,0,0.986159169550173
Q3,340,1398,0.997058823529412
Q4,192,0,0.984375
