margBRWN,n,landing,coverage
BDG,12,0,0.666666666666667
BRG,401,4315,0.620947630922693
CRS,60,0,0.8
ERK,459,1434,0.686274509803922
MNT,163,0,0.840490797546012
MRO,164,144491,0.780487804878049
OSF,36,35728,0.638888888888889
HKL,124,35728,0.774193548387097
NET,14,0,0.428571428571429
TWL,1157,150240,0.696629213483146
1978,124,0,0.532258064516129
1979,102,0,0.92156862745098
1980,271,181604,0.819188191881919
1981,237,2930,0.658227848101266
1982,249,1394,0.867469879518072
1983,312,40,0.493589743589744
Q1,228,0,0.754385964912281
Q2,390,35768,0.628205128205128
Q3,437,4315,0.697940503432494
Q4,240,145885,0.775
