margBRWN,n,landing,coverage
BDG,12,0,1
BRG,401,4315,0.99501246882793
CRS,60,0,1
ERK,459,1434,0.995642701525055
MNT,163,0,1
MRO,164,144491,0.99390243902439
OSF,36,35728,0.944444444444444
HKL,124,35728,0.991935483870968
NET,14,0,1
TWL,1157,150240,0.994814174589456
1978,124,0,0.991935483870968
1979,102,0,1
1980,271,181604,0.988929889298893
1981,237,2930,0.9957805907173
1982,249,1394,0.995983935742972
1983,312,40,0.996794871794872
Q1,228,0,0.995614035087719
Q2,390,35768,0.994871794871795
Q3,437,4315,0.995423340961098
Q4,240,145885,0.991666666666667
