margGRAS,n,landing,coverage
BDG,31,0,0.290322580645161
BRG,420,0,0.104761904761905
CRS,73,0,0.26027397260274
ERK,533,1251,0.170731707317073
MNT,249,0,0.329317269076305
MRO,201,0,0.213930348258706
OSF,65,0,0.138461538461538
HKL,128,0,0.1796875
NET,24,0,0.0833333333333333
TWL,1420,1251,0.191549295774648
1978,124,0,0
1979,102,0,0.0588235294117647
1980,271,0,0.14760147601476
1981,237,0,0.0632911392405063
1982,249,1251,0.42570281124498
1983,312,0,0.144230769230769
1984,277,0,0.306859205776173
Q1,277,0,0.133574007220217
Q2,441,1251,0.120181405895692
Q3,534,0,0.353932584269663
Q4,320,0,0.05625
