margRDBD,n,landing,coverage
BDG,9,0,1
BRG,326,58633,0.966257668711656
CRS,50,25892,1
ERK,323,273668,0.990712074303406
MNT,108,0,1
MRO,138,7743,0.978260869565217
OSF,29,0,1
HKL,110,7743,0.972727272727273
NET,6,0,1
TWL,867,358193,0.983852364475202
1978,124,19636,0.967741935483871
1979,102,15938,0.950980392156863
1980,271,48975,0.985239852398524
1981,237,264477,0.983122362869198
1982,249,16910,1
Q1,162,133253,0.993827160493827
Q2,289,61385,0.97923875432526
Q3,340,151536,0.976470588235294
Q4,192,19762,0.989583333333333
