margLCOD,n,landing,coverage
BDG,4,0,1
BRG,6,0,1
MNT,95,31960,0.863157894736842
MRO,77,90630,0.948051948051948
OSF,63,0,1
HKL,1,0,1
NET,8,5650,0.625
TWL,236,116940,0.940677966101695
1978,57,31899,0.789473684210526
1980,61,90630,0.934426229508197
1981,42,0,1
1982,50,0,1
1983,18,0,1
1984,6,61,0.833333333333333
1985,11,0,1
Q1,55,2441,0.945454545454545
Q2,86,23340,0.918604651162791
Q3,59,86131,0.898305084745763
Q4,45,10678,0.977777777777778
