"marginalCWCD","n","landing","coverage"
"BRG",6,0,0.666666666666667
"MNT",88,371,0.829545454545455
"MRO",64,11917,0.9375
"OSF",52,21861,0.980769230769231
"HKL",1,1490,0
"NET",8,0,1
"TWL",201,32659,0.895522388059702
"1978",57,22066,0.771929824561403
"1980",61,1490,0.983606557377049
"1981",42,10427,0.880952380952381
"1982",50,166,0.94
"Q1",43,1695,0.906976744186046
"Q2",73,21861,0.986301369863014
"Q3",54,0,0.759259259259259
"Q4",40,10593,0.9
