"marginalGRAS","n","landing","coverage"
"BDG",9,0,0.444444444444444
"BRG",326,0,0.174846625766871
"CRS",50,0,0.04
"ERK",323,1251,0.226006191950464
"MNT",108,0,0.148148148148148
"MRO",138,0,0.27536231884058
"OSF",29,0,0.344827586206897
"HKL",110,0,0.309090909090909
"NET",6,0,0.666666666666667
"TWL",867,1251,0.186851211072664
"1978",124,0,0.338709677419355
"1979",102,0,0.0588235294117647
"1980",271,0,0.261992619926199
"1981",237,0,0.118143459915612
"1982",249,1251,0.21285140562249
"Q1",162,0,0.5
"Q2",289,1251,0.221453287197232
"Q3",340,0,0.144117647058824
"Q4",192,0,0.03125
