margKLPG,n,landing,coverage
BRG,6,0,0
MNT,88,337,0.272727272727273
MRO,64,0,0.671875
OSF,52,0,0.307692307692308
HKL,1,0,0
NET,8,337,0.75
TWL,201,0,0.383084577114428
1978,57,337,0.368421052631579
1980,61,0,0.459016393442623
1981,42,0,0.785714285714286
1982,50,0,0.02
Q1,43,0,0.372093023255814
Q2,73,337,0.465753424657534
Q3,54,0,0.203703703703704
Q4,40,0,0.55
