margSRKR,n,landing,coverage
BDG,56,0,0.0357142857142857
BRG,457,8183,0.310722100656455
CRS,82,0,0.0853658536585366
ERK,594,0,0.14983164983165
MNT,344,0,0.232558139534884
MRO,266,0,0.281954887218045
OSF,104,0,0.288461538461538
HKL,138,0,0.231884057971014
NET,47,0,0.404255319148936
TWL,1718,8183,0.217694994179278
1978,124,0,0.5
1979,102,0,0.264705882352941
1980,271,0,0.0701107011070111
1981,237,0,0.10126582278481
1982,249,0,0.124497991967871
1983,312,8183,0.185897435897436
1984,277,0,0.534296028880866
1985,331,0,0.169184290030211
Q1,339,0,0.215339233038348
Q2,531,0,0.222222222222222
Q3,645,0,0.265116279069767
Q4,388,8183,0.162371134020619
