"marginalDBRK","n","landing","coverage"
"BDG",27,0,0.259259259259259
"BRG",12,0,0.5
"CRS",3,0,1
"ERK",55,0,0.436363636363636
"MNT",11,0,0.181818181818182
"MRO",1,0,1
"OSF",20,0,0.2
"TWL",129,0,0.364341085271318
"1981",37,0,0.351351351351351
"1982",92,0,0.369565217391304
"Q1",33,0,0.151515151515152
"Q2",13,0,0.153846153846154
"Q3",37,0,0.675675675675676
"Q4",46,0,0.326086956521739
