margCNRY,n,landing,coverage
BRG,6,33886,0.833333333333333
MNT,88,692,0.988636363636364
MRO,64,72433,0.984375
OSF,52,89832,0.961538461538462
HKL,1,0,1
NET,8,692,0.875
TWL,201,196151,0.980099502487562
1978,57,19046,0.964912280701754
1980,61,83956,0.967213114754098
1981,42,63839,1
1982,50,30002,0.98
Q1,43,13366,1
Q2,73,95888,0.945205479452055
Q3,54,75858,1
Q4,40,11731,0.975
