margSWSP,n,landing,coverage
BDG,9,0,0
BRG,326,0,0.404907975460123
CRS,50,0,0
ERK,323,0,0.0928792569659443
MNT,108,0,0.407407407407407
MRO,138,0,0.304347826086957
OSF,29,0,0.275862068965517
HKL,110,0,0.263636363636364
NET,6,0,0
TWL,867,0,0.261822376009227
1978,124,0,0.17741935483871
1979,102,0,0.411764705882353
1980,271,0,0.365313653136531
1981,237,0,0.223628691983122
1982,249,0,0.160642570281124
Q1,162,0,0.271604938271605
Q2,289,0,0.290657439446367
Q3,340,0,0.176470588235294
Q4,192,0,0.354166666666667
