"marginalGRAS","n","landing","coverage"
"BDG",9,0,0
"BRG",326,0,0.309815950920245
"CRS",50,0,0.06
"ERK",323,1251,0.284829721362229
"MNT",108,0,0.157407407407407
"MRO",138,0,0.384057971014493
"OSF",29,0,0.103448275862069
"HKL",110,0,0.4
"NET",6,0,0.666666666666667
"TWL",867,1251,0.254901960784314
"1978",124,0,0.0564516129032258
"1979",102,0,0.57843137254902
"1980",271,0,0.18450184501845
"1981",237,0,0.210970464135021
"1982",249,1251,0.413654618473896
"Q1",162,0,0.117283950617284
"Q2",289,1251,0.26643598615917
"Q3",340,0,0.285294117647059
"Q4",192,0,0.395833333333333
