margCOPP,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.932515337423313
CRS,50,0,0.96
ERK,323,6444,0.882352941176471
MNT,108,0,1
MRO,138,2014,0.840579710144927
OSF,29,15228,0.96551724137931
HKL,110,20839,0.781818181818182
NET,6,0,1
TWL,867,2847,0.929642445213379
1978,124,0,0.983870967741935
1979,102,0,0.980392156862745
1980,271,19234,0.985239852398524
1981,237,0,0.717299578059072
1982,249,4452,0.959839357429719
Q1,162,0,1
Q2,289,15228,0.806228373702422
Q3,340,7833,0.979411764705882
Q4,192,625,0.885416666666667
