margBLCK,n,landing,coverage
BDG,12,0,1
BRG,401,1297,0.997506234413965
CRS,60,175058,0.9
ERK,459,1788395,0.832244008714597
MNT,163,0,1
MRO,164,66,0.99390243902439
OSF,36,0,0.972222222222222
HKL,124,174577,0.943548387096774
NET,14,0,1
TWL,1157,1790239,0.931719965427831
1978,124,232338,0.951612903225806
1979,102,238,0.980392156862745
1980,271,103623,0.940959409594096
1981,237,984858,0.932489451476793
1982,249,368675,0.891566265060241
1983,312,275084,0.939102564102564
Q1,228,697135,0.956140350877193
Q2,390,483991,0.930769230769231
Q3,437,272938,0.929061784897025
Q4,240,510752,0.925
