"marginalMXRF","n","landing","coverage"
"BDG",9,0,0.333333333333333
"BRG",326,15828,0.230061349693252
"CRS",50,0,0.46
"ERK",323,0,0.136222910216718
"MNT",108,0,0.361111111111111
"MRO",138,0,0.355072463768116
"OSF",29,0,0.448275862068966
"HKL",110,0,0.263636363636364
"NET",6,0,0.5
"TWL",867,15828,0.246828143021915
"1978",124,0,0.580645161290323
"1979",102,0,0.0392156862745098
"1980",271,15828,0.247232472324723
"1981",237,0,0.29957805907173
"1982",249,0,0.1285140562249
"Q1",162,0,0.216049382716049
"Q2",289,6676,0.29757785467128
"Q3",340,9152,0.202941176470588
"Q4",192,0,0.291666666666667
