margSTRK,n,landing,coverage
BDG,9,0,0.666666666666667
BRG,326,127568,0.601226993865031
CRS,50,10870,0.68
ERK,323,14240,0.826625386996904
MNT,108,28922,0.509259259259259
MRO,138,0,0.550724637681159
OSF,29,4362,0.379310344827586
HKL,110,0,0.427272727272727
NET,6,0,0.166666666666667
TWL,867,185962,0.688581314878893
1978,124,25258,0.580645161290323
1979,102,67002,0.627450980392157
1980,271,65546,0.719557195571956
1981,237,6271,0.658227848101266
1982,249,21885,0.634538152610442
Q1,162,30435,0.561728395061728
Q2,289,30177,0.8719723183391
Q3,340,73936,0.520588235294118
Q4,192,51414,0.651041666666667
