margVRML,n,landing,coverage
BRG,6,0,0.166666666666667
MNT,88,0,0.886363636363636
MRO,64,56066,0.90625
OSF,52,21191,0.519230769230769
HKL,1,9249,0
NET,8,0,1
TWL,201,68008,0.776119402985075
1978,57,0,0.807017543859649
1980,61,77257,0.754098360655738
1981,42,0,0.738095238095238
1982,50,0,0.82
Q1,43,18759,0.767441860465116
Q2,73,46817,0.794520547945205
Q3,54,11681,0.796296296296296
Q4,40,0,0.75
