margBRNZ,n,landing,coverage
BDG,9,0,0.444444444444444
BRG,326,0,0.144171779141104
CRS,50,0,0.3
ERK,323,0,0.486068111455108
MNT,108,0,0.268518518518519
MRO,138,766,0.601449275362319
OSF,29,0,0.206896551724138
HKL,110,766,0.645454545454546
NET,6,0,0.333333333333333
TWL,867,0,0.309111880046136
1978,124,0,0.201612903225806
1979,102,766,0.294117647058824
1980,271,0,0.309963099630996
1981,237,0,0.29535864978903
1982,249,0,0.530120481927711
Q1,162,0,0.265432098765432
Q2,289,0,0.27681660899654
Q3,340,766,0.294117647058824
Q4,192,0,0.614583333333333
