margSPKL,n,landing,coverage
BRG,6,0,1
MNT,88,945,0.965909090909091
MRO,64,30039,0.96875
OSF,52,0,0.461538461538462
HKL,1,0,1
NET,8,904,0.75
TWL,201,30080,0.845771144278607
1978,57,945,0.754385964912281
1980,61,0,0.80327868852459
1981,42,30039,0.880952380952381
1982,50,0,0.96
Q1,43,9729,0.86046511627907
Q2,73,415,0.972602739726027
Q3,54,20840,0.703703703703704
Q4,40,0,0.775
