"marginalEGLS","n","landing","coverage"
"BRG",6,0,0.166666666666667
"MNT",88,185,0.454545454545455
"MRO",64,0,0.453125
"OSF",52,2368,0.576923076923077
"HKL",1,0,0
"NET",8,0,0.125
"TWL",201,2553,0.492537313432836
"1978",57,185,0.56140350877193
"1980",61,0,0.639344262295082
"1981",42,0,0.30952380952381
"1982",50,2368,0.32
"Q1",43,0,0.488372093023256
"Q2",73,2368,0.424657534246575
"Q3",54,0,0.537037037037037
"Q4",40,185,0.475
