"marginalSBLY","n","landing","coverage"
"BDG",9,6313,0.888888888888889
"BRG",326,387,0.702453987730061
"CRS",50,0,0.82
"ERK",323,0,0.746130030959752
"MNT",108,900,0.481481481481481
"MRO",138,0,0.731884057971015
"OSF",29,0,0.862068965517241
"HKL",110,0,0.663636363636364
"NET",6,0,0.333333333333333
"TWL",867,7600,0.717416378316032
"1978",124,387,0.185483870967742
"1979",102,0,0.529411764705882
"1980",271,0,0.977859778597786
"1981",237,0,0.763713080168776
"1982",249,7213,0.698795180722892
"Q1",162,0,0.598765432098765
"Q2",289,6588,0.764705882352941
"Q3",340,112,0.811764705882353
"Q4",192,900,0.536458333333333
