"marginalREYE","n","landing","coverage"
"BDG",9,0,0
"BRG",326,0,0.263803680981595
"CRS",50,0,0.44
"ERK",323,0,0.334365325077399
"MNT",108,0,0.12037037037037
"MRO",138,0,0.22463768115942
"OSF",29,0,0.655172413793103
"HKL",110,0,0.327272727272727
"NET",6,0,0
"TWL",867,0,0.280276816608997
"1978",124,0,0.0403225806451613
"1979",102,0,0.294117647058824
"1980",271,0,0.214022140221402
"1981",237,0,0.270042194092827
"1982",249,0,0.48995983935743
"Q1",162,0,0.364197530864198
"Q2",289,0,0.15916955017301
"Q3",340,0,0.344117647058824
"Q4",192,0,0.296875
