margBRWN,n,landing,coverage
BDG,4,0,0.75
BRG,6,0,1
MNT,95,0,0.905263157894737
MRO,66,3617,0.984848484848485
OSF,63,0,1
HKL,1,0,1
NET,8,0,1
TWL,225,3617,0.951111111111111
1978,57,0,1
1980,61,0,1
1981,42,0,1
1982,50,3617,0.86
1983,18,0,0.944444444444444
1984,6,0,0.5
Q1,51,3617,0.843137254901961
Q2,79,0,1
Q3,59,0,1
Q4,45,0,0.933333333333333
