margROSY,n,landing,coverage
BDG,9,0,0.555555555555556
BRG,326,0,0.699386503067485
CRS,50,0,0.5
ERK,323,0,0.532507739938081
MNT,108,0,0.583333333333333
MRO,138,321,0.442028985507246
OSF,29,0,0.724137931034483
HKL,110,321,0.381818181818182
NET,6,0,0.666666666666667
TWL,867,0,0.610149942329873
1978,124,0,0.596774193548387
1979,102,0,0.588235294117647
1980,271,60,0.66789667896679
1981,237,136,0.637130801687764
1982,249,125,0.437751004016064
Q1,162,125,0.580246913580247
Q2,289,0,0.591695501730104
Q3,340,60,0.494117647058824
Q4,192,136,0.739583333333333
