"marginalURCK","n","landing","coverage"
"BDG",9,0,0.111111111111111
"BRG",326,0,0.279141104294479
"CRS",50,44,0.3
"ERK",323,0,0.210526315789474
"MNT",108,0,0.37962962962963
"MRO",138,0,0.217391304347826
"OSF",29,0,0.448275862068966
"HKL",110,0,0.281818181818182
"NET",6,0,0.166666666666667
"TWL",867,44,0.261822376009227
"1978",124,0,0.00806451612903226
"1979",102,0,0.735294117647059
"1980",271,44,0.302583025830258
"1981",237,0,0.122362869198312
"1982",249,0,0.289156626506024
"Q1",162,0,0.172839506172839
"Q2",289,0,0.238754325259516
"Q3",340,44,0.320588235294118
"Q4",192,0,0.276041666666667
