margLCOD,n,landing,coverage
BDG,9,0,1
BRG,326,26912,0.996932515337423
CRS,50,0,1
ERK,323,0,1
MNT,108,45746,0.935185185185185
MRO,138,142506,0.876811594202899
OSF,29,0,1
HKL,110,9396,0.945454545454545
NET,6,2863,0.833333333333333
TWL,867,202905,0.97923875432526
1978,124,3899,0.983870967741935
1979,102,7166,0.96078431372549
1980,271,177136,0.940959409594096
1981,237,26525,0.991561181434599
1982,249,438,0.995983935742972
Q1,162,4993,0.987654320987654
Q2,289,70244,0.955017301038062
Q3,340,122173,0.976470588235294
Q4,192,17754,0.989583333333333
