margSLGR,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.754601226993865
CRS,50,0,1
ERK,323,1894,0.996904024767802
MNT,108,0,0.768518518518518
MRO,138,0,0.942028985507246
OSF,29,0,1
HKL,110,0,0.945454545454545
NET,6,0,1
TWL,867,1894,0.875432525951557
1978,124,0,0.862903225806452
1979,102,1894,0.931372549019608
1980,271,0,0.767527675276753
1981,237,0,0.957805907172996
1982,249,0,0.931726907630522
Q1,162,1894,0.839506172839506
Q2,289,0,0.965397923875433
Q3,340,0,0.852941176470588
Q4,192,0,0.854166666666667
