margSLGR,n,landing,coverage
BDG,9,0,0.444444444444444
BRG,326,0,0.263803680981595
CRS,50,0,0.44
ERK,323,1894,0.445820433436532
MNT,108,0,0.185185185185185
MRO,138,0,0.36231884057971
OSF,29,0,0.275862068965517
HKL,110,0,0.345454545454545
NET,6,0,0.166666666666667
TWL,867,1894,0.340253748558247
1978,124,0,0.524193548387097
1979,102,1894,0.470588235294118
1980,271,0,0.276752767527675
1981,237,0,0.29957805907173
1982,249,0,0.301204819277108
Q1,162,1894,0.283950617283951
Q2,289,0,0.335640138408304
Q3,340,0,0.341176470588235
Q4,192,0,0.390625
