margGSPT,n,landing,coverage
BRG,6,12101,0.833333333333333
MNT,88,3696,1
MRO,64,34600,0.96875
OSF,52,15814,0.942307692307692
HKL,1,0,1
NET,8,0,1
TWL,201,66211,0.970149253731343
1978,57,6413,0.982456140350877
1980,61,20705,0.967213114754098
1981,42,37392,0.928571428571429
1982,50,1701,1
Q1,43,2118,1
Q2,73,20705,0.972602739726027
Q3,54,31249,0.962962962962963
Q4,40,12139,0.95
