margQLBK,n,landing,coverage
BDG,9,0,1
BRG,326,232,0.969325153374233
CRS,50,0,1
ERK,323,0,0.848297213622291
MNT,108,0,0.944444444444444
MRO,138,0,0.840579710144927
OSF,29,0,0.96551724137931
HKL,110,0,0.881818181818182
NET,6,0,0.833333333333333
TWL,867,232,0.914648212226067
1978,124,232,0.975806451612903
1979,102,0,0.843137254901961
1980,271,0,1
1981,237,0,0.814345991561181
1982,249,0,0.899598393574297
Q1,162,232,0.901234567901235
Q2,289,0,0.830449826989619
Q3,340,0,0.935294117647059
Q4,192,0,0.994791666666667
